,Unnamed: 0.1,start,end,strand,utr5,genes,utrs,Osize,newRPK
0,thrLABC,37,5019,0,thrL - ,"['thrL', 'thrA', 'thrB', 'thrC']","['thrL-', 'thrL-thrA', 'thrA-thrB']",4,29.400132580639095
1,yaaX,5233,5529,0,,['yaaX'],,1,1.6232644370542932
2,yaaA,5682,6483,1,yaaA-,['yaaA'],['yaaA-'],1,7.932182084808354
3,yaaJ,6528,7958,1,,['yaaJ'],,1,6.165692921349456
4,talB,8190,9190,0,talB - ,['talB'],['talB-'],1,68.24297000207798
5,mog,9276,9892,0,mog - ,['mog'],['mog-'],1,15.920043047982835
6,satP,9927,10493,1,,['satP'],,1,29.84676714041324
7,yaaW,10642,11355,1,,['yaaW'],,1,1.5631755964423488
8,htgA,10829,11314,0,,['htgA'],,1,0.36779351012225564
9,yaaI,11381,11785,1,,['yaaI'],,1,0.17831780877934944
10,dnaK-tpke11-dnaJ,12047,15297,0,dnaK - ,"['dnaK', 'tpke11', 'dnaJ']",['dnaK-'],3,103.18093897297969
11,insL-1,15444,16556,0,,['insL-1'],,1,20.232141431059762
12,mokC-hokC,16750,16960,1,mokC-,"['mokC', 'hokC']",['mokC-'],2,19.401134797119234
13,sokC,16951,17005,0,,['sokC'],,1,1.2424059005634882
14,nhaAR,17488,19619,0,,"['nhaA', 'nhaR']",['nhaA-nhaR'],2,19.954290300035037
15,insAB-1A-1B-1,19810,20677,1,insA-1-,"['insA-1', 'insAB-1', 'insB-1']",['insA-1-'],3,3.6628346091227653
16,rpsT,20814,21207,1,rpsT-,['rpsT'],['rpsT-'],1,523.9023967775838
17,ribF-ileS-lspA-fkpB-ispH,21382,27226,0,ribF - ,"['ribF', 'ileS', 'lspA', 'fkpB', 'ispH']","['ribF-', 'ribF-ileS', 'lspA-fkpB', 'fkpB-ispH']",5,118.39057367774417
18,rihC,27262,28206,0,rihC - ,['rihC'],['rihC-'],1,88.0437117136161
19,dapB,28286,29194,0,dapB - ,['dapB'],['dapB-'],1,16.133693504302418
20,carAB,29650,34037,0,,"['carA', 'carB']",['carA-carB'],2,12.987629704355545
21,caiF,34215,34694,0,caiF - ,['caiF'],['caiF-'],1,0.9001799017945512
22,caiTABCDE,34780,41930,1,,"['caiT', 'caiA', 'caiB', 'caiC', 'caiD', 'caiE']","['caiT-caiA', 'caiA-caiB', 'caiB-caiC', 'caiC-caiD', 'caiD-caiE']",6,3.195851745816933
23,fixABCX,42402,45749,0,,"['fixA', 'fixB', 'fixC', 'fixX']","['fixA-fixB', 'fixB-fixC']",4,0.46235454627243666
24,yaaU,45806,47137,0,,['yaaU'],,1,0.7761705674369713
25,kefFC,47214,49630,0,kefF - ,"['kefF', 'kefC']",['kefF-'],2,9.184483909709341
26,folA,49798,50301,0,folA - ,['folA'],['folA-'],1,33.57481842587489
